ID	RindType	Moisture	pH	NaCl	Pasteurized	Country	Region	Milk
4524482.3	natural	34.91	6.55	0.03	N	USA	Connecticut	Cow
4524483.3	washed	58.54	6.47	0.19	N	France	Burgundy-Champagne	Cow
4524484.3	bloomy	31.45	6.56	0.27	N	France	Savoie	Goat
4524485.3	bloomy	62.55	6.31	0.17	N	France	Normandy	Cow
4524486.3	washed	55.75	6.71	0.14	Y	Ireland	Co._Cork	Cow
4524487.3	washed	26.91	7.36	0.12	N	France	Doubs_county	Cow
4524488.3	natural	37.16	7.5	0.22	N	England	Nottinghamshire	Cow
4524489.3	bloomy	58.62	6.54	0.1	N	England	Somerset	Goat
4524490.3	natural	33	6.69	0.04	N	USA	Vermont	Cow
4524491.3	natural	16.8	6.13	0.15	Y	USA	Vermont	Cow
4524493.3	natural	37.24	5.44	0.09	N	USA	Massachusetts	Cow
4524494.3	washed	61.71	7.42	0.09	Y	USA	California	Cow
4524495.3	washed	47.75	7.02	0.08	N	USA	Virginia	Cow
4524496.3	washed	50.6	7.75	0.12	N	France	Auvergne	Cow
4524497.3	natural	42.47	6.8	0.15	Y	France	Auvergne	Cow
4524498.3	natural	10.91	7.24	0.09	Y	Spain	Catalunya	Goat
4524499.3	washed	40.71	8.26	0.13	N	USA	Vermont	Cow
4524500.3	washed	34.36	7.86	0.12	Y	Switzerland	Tufertschwil	Cow
4524501.3	natural	43.59	7.31	0.12	N	USA	Vermont	Goat
4524502.3	washed	40	7.03	0.19	N	France	Rhone-Alpes	Cow
4524504.3	bloomy	67.37	6.74	0.06	Y	Italy	Piedmont	Sheep
4524505.3	washed	60.26	7.18	0.07	N	USA	Wisconsin	Cow
